,State,Year,Quarter,District,Count,Amount
197,Andhra Pradesh,2020,2,prakasam district,8844580,19846026726.904335
198,Andhra Pradesh,2020,2,anantapur district,10473739,22094006659.412506
199,Andhra Pradesh,2020,2,ysr district,8033609,19597207268.132023
200,Andhra Pradesh,2020,2,west godavari district,7273096,16585866855.159784
201,Andhra Pradesh,2020,2,kurnool district,9821381,22419372061.805172
202,Andhra Pradesh,2020,2,chittoor district,14848197,27361300300.01902
203,Andhra Pradesh,2020,2,guntur district,12308707,27463593607.839108
204,Andhra Pradesh,2020,2,krishna district,12313709,26964149095.366295
205,Andhra Pradesh,2020,3,east godavari district,17972431,39300043804.75851
206,Andhra Pradesh,2020,3,srikakulam district,8286289,18029574581.337425
207,Andhra Pradesh,2020,3,spsr nellore district,16468209,39128324534.03022
208,Andhra Pradesh,2020,3,vizianagaram district,8236703,17567816576.501263
209,Andhra Pradesh,2020,3,visakhapatnam district,34421299,67628440368.111465
210,Andhra Pradesh,2020,3,prakasam district,12266310,31221704852.44969
211,Andhra Pradesh,2020,3,anantapur district,14447683,34102037972.65785
212,Andhra Pradesh,2020,3,ysr district,11934653,32037007334.12973
213,Andhra Pradesh,2020,3,west godavari district,10412351,25408608725.754295
214,Andhra Pradesh,2020,3,kurnool district,13243292,32529351107.17173
215,Andhra Pradesh,2020,3,chittoor district,20501863,42811566246.16463
216,Andhra Pradesh,2020,3,guntur district,17601395,42531195809.75448
217,Andhra Pradesh,2020,3,krishna district,19110457,44788458672.084435
218,Andhra Pradesh,2020,4,east godavari district,25989490,58732615663.118416
219,Andhra Pradesh,2020,4,srikakulam district,11092184,25222520275.27882
220,Andhra Pradesh,2020,4,spsr nellore district,20934374,49115443663.37911
221,Andhra Pradesh,2020,4,vizianagaram district,10580824,24094847668.445065
222,Andhra Pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399
223,Andhra Pradesh,2020,4,prakasam district,16176867,41852443493.515396
224,Andhra Pradesh,2020,4,anantapur district,20996384,49732610814.26222
