,State,Year,Quater,District,Registered_Users
1429,Delhi,2018,1,central delhi,202723
1430,Delhi,2018,1,south west,179197
1431,Delhi,2018,1,north,173622
1432,Delhi,2018,1,east,169295
1433,Delhi,2018,1,south,156706
1434,Delhi,2018,1,shahdara,114549
1435,Delhi,2018,2,west,406877
1436,Delhi,2018,2,south east delhi,333350
1437,Delhi,2018,2,north west,294038
1438,Delhi,2018,2,new delhi,282319
1439,Delhi,2018,2,central delhi,267154
1440,Delhi,2018,2,south west,236789
1441,Delhi,2018,2,north,227958
1442,Delhi,2018,2,east,221449
1443,Delhi,2018,2,south,206935
1444,Delhi,2018,2,shahdara,152113
1445,Delhi,2018,3,west,515854
1446,Delhi,2018,3,south east delhi,423177
1447,Delhi,2018,3,north west,376806
1448,Delhi,2018,3,new delhi,363140
1449,Delhi,2018,3,central delhi,340549
1450,Delhi,2018,3,south west,297663
1451,Delhi,2018,3,north,290251
1452,Delhi,2018,3,east,280847
1453,Delhi,2018,3,south,264628
1454,Delhi,2018,3,shahdara,192430
1455,Delhi,2018,4,west,686653
1456,Delhi,2018,4,south east delhi,564640
1457,Delhi,2018,4,north west,496928
1458,Delhi,2018,4,new delhi,470991
1459,Delhi,2018,4,central delhi,446787
1460,Delhi,2018,4,south west,393208
1461,Delhi,2018,4,north,379177
1462,Delhi,2018,4,east,373139
1463,Delhi,2018,4,south,344311
1464,Delhi,2018,4,shahdara,257785
1465,Delhi,2019,1,west,820526
1466,Delhi,2019,1,south east delhi,671667
1467,Delhi,2019,1,north west,583438
1468,Delhi,2019,1,new delhi,558516
1469,Delhi,2019,1,central delhi,529918
1470,Delhi,2019,1,south west,467571
1471,Delhi,2019,1,north,447987
1472,Delhi,2019,1,east,439639
1473,Delhi,2019,1,south,407519
1474,Delhi,2019,1,shahdara,310351
1475,Delhi,2019,2,west,919096
1476,Delhi,2019,2,south east delhi,749218
1477,Delhi,2019,2,north west,649377
1478,Delhi,2019,2,new delhi,637526
1479,Delhi,2019,2,central delhi,596940
1480,Delhi,2019,2,south west,519422
1481,Delhi,2019,2,north,502570
1482,Delhi,2019,2,east,487121
1483,Delhi,2019,2,south,453829
1484,Delhi,2019,2,shahdara,352312
1485,Delhi,2019,3,west,1008836
1486,Delhi,2019,3,south east delhi,821304
1487,Delhi,2019,3,north west,709448
1488,Delhi,2019,3,new delhi,705546
1489,Delhi,2019,3,central delhi,658985
1490,Delhi,2019,3,south west,567496
1491,Delhi,2019,3,north,554029
1492,Delhi,2019,3,east,532254
1493,Delhi,2019,3,south,498200
1494,Delhi,2019,3,shahdara,391827
1495,Delhi,2019,4,west,1081496
1496,Delhi,2019,4,south east delhi,883080
1497,Delhi,2019,4,north west,758620
1498,Delhi,2019,4,new delhi,757888
1499,Delhi,2019,4,central delhi,711015
1500,Delhi,2019,4,south west,605482
1501,Delhi,2019,4,north,598910
1502,Delhi,2019,4,east,568283
1503,Delhi,2019,4,south,533716
1504,Delhi,2019,4,shahdara,425305
1505,Delhi,2020,1,west,1160353
1506,Delhi,2020,1,south east delhi,947535
1507,Delhi,2020,1,north west,814249
1508,Delhi,2020,1,new delhi,810489
1509,Delhi,2020,1,central delhi,765149
1510,Delhi,2020,1,north,648654
1511,Delhi,2020,1,south west,644981
1512,Delhi,2020,1,east,604768
1513,Delhi,2020,1,south,570329
1514,Delhi,2020,1,shahdara,460186
1515,Delhi,2020,2,west,1243875
1516,Delhi,2020,2,south east delhi,1011931
1517,Delhi,2020,2,north west,877218
1518,Delhi,2020,2,new delhi,858515
1519,Delhi,2020,2,central delhi,821609
1520,Delhi,2020,2,north,704186
1521,Delhi,2020,2,south west,688199
1522,Delhi,2020,2,east,641233
1523,Delhi,2020,2,south,608062
1524,Delhi,2020,2,shahdara,498710
1525,Delhi,2020,3,west,1343895
1526,Delhi,2020,3,south east delhi,1088989
1527,Delhi,2020,3,north west,946954
1528,Delhi,2020,3,new delhi,912051
1529,Delhi,2020,3,central delhi,888536
1530,Delhi,2020,3,north,763389
1531,Delhi,2020,3,south west,739034
1532,Delhi,2020,3,east,685955
1533,Delhi,2020,3,south,651616
1534,Delhi,2020,3,shahdara,543831
1535,Delhi,2020,4,west,1451042
1536,Delhi,2020,4,south east delhi,1174221
1537,Delhi,2020,4,north west,1019187
1538,Delhi,2020,4,new delhi,971715
1539,Delhi,2020,4,central delhi,962750
1540,Delhi,2020,4,north,827019
1541,Delhi,2020,4,south west,792331
1542,Delhi,2020,4,east,734091
1543,Delhi,2020,4,south,699303
1544,Delhi,2020,4,shahdara,591192
1545,Delhi,2021,1,west,1559112
1546,Delhi,2021,1,south east delhi,1260645
1547,Delhi,2021,1,north west,1094464
1548,Delhi,2021,1,new delhi,1039016
1549,Delhi,2021,1,central delhi,1035060
1550,Delhi,2021,1,north,890194
1551,Delhi,2021,1,south west,849223
1552,Delhi,2021,1,east,786308
1553,Delhi,2021,1,south,749173
1554,Delhi,2021,1,shahdara,636908
1555,Delhi,2021,2,west,1666267
1556,Delhi,2021,2,south east delhi,1346063
1557,Delhi,2021,2,north west,1170137
1558,Delhi,2021,2,new delhi,1108471
1559,Delhi,2021,2,central delhi,1105640
1560,Delhi,2021,2,north,952374
1561,Delhi,2021,2,south west,906878
1562,Delhi,2021,2,east,839185
1563,Delhi,2021,2,south,799590
1564,Delhi,2021,2,shahdara,681073
1565,Delhi,2021,3,west,1785309
1566,Delhi,2021,3,south east delhi,1441462
1567,Delhi,2021,3,north west,1254464
1568,Delhi,2021,3,new delhi,1185588
1569,Delhi,2021,3,central delhi,1184217
1570,Delhi,2021,3,north,1022251
1571,Delhi,2021,3,south west,971552
1572,Delhi,2021,3,east,898137
1573,Delhi,2021,3,south,855177
1574,Delhi,2021,3,shahdara,730209
1575,Delhi,2021,4,west,1905278
1576,Delhi,2021,4,south east delhi,1537814
1577,Delhi,2021,4,north west,1339480
1578,Delhi,2021,4,central delhi,1263911
1579,Delhi,2021,4,new delhi,1263818
1580,Delhi,2021,4,north,1093028
1581,Delhi,2021,4,south west,1036466
1582,Delhi,2021,4,east,957392
1583,Delhi,2021,4,south,911399
1584,Delhi,2021,4,shahdara,779798
1585,Delhi,2022,1,west,2017435
1586,Delhi,2022,1,south east delhi,1628157
1587,Delhi,2022,1,north west,1419688
1588,Delhi,2022,1,central delhi,1338465
1589,Delhi,2022,1,new delhi,1336911
1590,Delhi,2022,1,north,1159277
1591,Delhi,2022,1,south west,1097016
1592,Delhi,2022,1,east,1013024
1593,Delhi,2022,1,south,963775
1594,Delhi,2022,1,shahdara,826148
1595,Delhi,2022,2,west,2124626
1596,Delhi,2022,2,south east delhi,1714507
1597,Delhi,2022,2,north west,1496002
1598,Delhi,2022,2,central delhi,1409776
1599,Delhi,2022,2,new delhi,1406687
1600,Delhi,2022,2,north,1222605
1601,Delhi,2022,2,south west,1155288
1602,Delhi,2022,2,east,1066632
1603,Delhi,2022,2,south,1013938
1604,Delhi,2022,2,shahdara,870461
1605,Delhi,2022,3,west,2235907
1606,Delhi,2022,3,south east delhi,1804123
1607,Delhi,2022,3,north west,1575473
1608,Delhi,2022,3,central delhi,1483786
1609,Delhi,2022,3,new delhi,1479669
1610,Delhi,2022,3,north,1288507
1611,Delhi,2022,3,south west,1215697
1612,Delhi,2022,3,east,1121596
1613,Delhi,2022,3,south,1065631
1614,Delhi,2022,3,shahdara,917096
1615,Delhi,2022,4,west,2348063
1616,Delhi,2022,4,south east delhi,1894776
1617,Delhi,2022,4,north west,1655730
1618,Delhi,2022,4,central delhi,1558400
1619,Delhi,2022,4,new delhi,1552874
1620,Delhi,2022,4,north,1354521
1621,Delhi,2022,4,south west,1275864
1622,Delhi,2022,4,east,1177294
1623,Delhi,2022,4,south,1117981
1624,Delhi,2022,4,shahdara,963656
1625,Delhi,2023,1,west,2453869
1626,Delhi,2023,1,south east delhi,1980915
1627,Delhi,2023,1,north west,1731494
1628,Delhi,2023,1,central delhi,1629248
1629,Delhi,2023,1,new delhi,1622600
1630,Delhi,2023,1,north,1416994
1631,Delhi,2023,1,south west,1333347
1632,Delhi,2023,1,east,1230290
1633,Delhi,2023,1,south,1167338
1634,Delhi,2023,1,shahdara,1007880
1635,Delhi,2023,2,west,2546575
1636,Delhi,2023,2,south east delhi,2055408
1637,Delhi,2023,2,north west,1798636
1638,Delhi,2023,2,central delhi,1690547
1639,Delhi,2023,2,new delhi,1682305
1640,Delhi,2023,2,north,1471979
1641,Delhi,2023,2,south west,1383364
1642,Delhi,2023,2,east,1275831
1643,Delhi,2023,2,south,1209741
1644,Delhi,2023,2,shahdara,1046614
1645,Delhi,2023,3,west,2641529
1646,Delhi,2023,3,south east delhi,2133173
1647,Delhi,2023,3,north west,1866671
1648,Delhi,2023,3,central delhi,1754227
1649,Delhi,2023,3,new delhi,1744588
1650,Delhi,2023,3,north,1528582
1651,Delhi,2023,3,south west,1435544
1652,Delhi,2023,3,east,1322844
1653,Delhi,2023,3,south,1254751
1654,Delhi,2023,3,shahdara,1086372
1655,Delhi,2023,4,west,2732926
1656,Delhi,2023,4,south east delhi,2207076
1657,Delhi,2023,4,north west,1933267
1658,Delhi,2023,4,central delhi,1815323
1659,Delhi,2023,4,new delhi,1803952
1660,Delhi,2023,4,north,1583005
1661,Delhi,2023,4,south west,1484762
1662,Delhi,2023,4,east,1367614
1663,Delhi,2023,4,south,1296849
1664,Delhi,2023,4,shahdara,1124343
1665,Delhi,2024,1,west,2837958
1666,Delhi,2024,1,south east delhi,2291746
1667,Delhi,2024,1,north west,2008098
1668,Delhi,2024,1,central delhi,1884700
1669,Delhi,2024,1,new delhi,1871468
1670,Delhi,2024,1,north,1644670
1671,Delhi,2024,1,south west,1541622
1672,Delhi,2024,1,east,1418866
1673,Delhi,2024,1,south,1345231
1674,Delhi,2024,1,shahdara,1167913
1675,Goa,2018,1,north goa,57769
1676,Goa,2018,1,south goa,34167
1677,Goa,2018,2,north goa,76192
1678,Goa,2018,2,south goa,45982
1679,Goa,2018,3,north goa,95307
1680,Goa,2018,3,south goa,58495
1681,Goa,2018,4,north goa,121001
1682,Goa,2018,4,south goa,74349
1683,Goa,2019,1,north goa,147802
1684,Goa,2019,1,south goa,90350
1685,Goa,2019,2,north goa,173002
1686,Goa,2019,2,south goa,105938
1687,Goa,2019,3,north goa,197361
1688,Goa,2019,3,south goa,119833
1689,Goa,2019,4,north goa,220385
1690,Goa,2019,4,south goa,133161
1691,Goa,2020,1,north goa,244309
1692,Goa,2020,1,south goa,147591
1693,Goa,2020,2,north goa,267533
1694,Goa,2020,2,south goa,163106
1695,Goa,2020,3,north goa,294195
1696,Goa,2020,3,south goa,180767
1697,Goa,2020,4,north goa,326479
1698,Goa,2020,4,south goa,201105
1699,Goa,2021,1,north goa,352593
1700,Goa,2021,1,south goa,217442
1701,Goa,2021,2,north goa,376703
1702,Goa,2021,2,south goa,232403
1703,Goa,2021,3,north goa,403952
1704,Goa,2021,3,south goa,249506
1705,Goa,2021,4,north goa,430814
1706,Goa,2021,4,south goa,266364
1707,Goa,2022,1,north goa,456250
1708,Goa,2022,1,south goa,282378
1709,Goa,2022,2,north goa,480353
1710,Goa,2022,2,south goa,297426
1711,Goa,2022,3,north goa,504946
1712,Goa,2022,3,south goa,312884
1713,Goa,2022,4,north goa,527826
1714,Goa,2022,4,south goa,327376
1715,Goa,2023,1,north goa,550554
1716,Goa,2023,1,south goa,341631
1717,Goa,2023,2,north goa,571111
1718,Goa,2023,2,south goa,354909
1719,Goa,2023,3,north goa,593176
1720,Goa,2023,3,south goa,368655
1721,Goa,2023,4,north goa,613836
1722,Goa,2023,4,south goa,382087
1723,Goa,2024,1,north goa,637677
1724,Goa,2024,1,south goa,397373
1725,Gujarat,2018,1,ahmadabad,572811
1726,Gujarat,2018,1,surat,489852
1727,Gujarat,2018,1,vadodara,205722
1728,Gujarat,2018,1,rajkot,133017
1729,Gujarat,2018,1,gandhinagar,118201
1730,Gujarat,2018,1,bharuch,101575
1731,Gujarat,2018,1,kachchh,97838
1732,Gujarat,2018,1,mahesana,97004
1733,Gujarat,2018,1,banas kantha,93506
1734,Gujarat,2018,1,bhavnagar,87683
1735,Gujarat,2018,2,ahmadabad,751746
1736,Gujarat,2018,2,surat,652372
1737,Gujarat,2018,2,vadodara,271730
1738,Gujarat,2018,2,rajkot,174778
1739,Gujarat,2018,2,gandhinagar,155539
1740,Gujarat,2018,2,bharuch,134500
1741,Gujarat,2018,2,kachchh,128064
1742,Gujarat,2018,2,mahesana,127614
1743,Gujarat,2018,2,banas kantha,125849
1744,Gujarat,2018,2,bhavnagar,115812
1745,Gujarat,2018,3,ahmadabad,919252
1746,Gujarat,2018,3,surat,808005
1747,Gujarat,2018,3,vadodara,335125
1748,Gujarat,2018,3,rajkot,215459
1749,Gujarat,2018,3,gandhinagar,190882
1750,Gujarat,2018,3,bharuch,169322
1751,Gujarat,2018,3,banas kantha,159591
1752,Gujarat,2018,3,kachchh,158762
1753,Gujarat,2018,3,mahesana,157274
1754,Gujarat,2018,3,bhavnagar,141243
1755,Gujarat,2018,4,ahmadabad,1212636
1756,Gujarat,2018,4,surat,998807
1757,Gujarat,2018,4,vadodara,421895
1758,Gujarat,2018,4,rajkot,260602
1759,Gujarat,2018,4,gandhinagar,242368
1760,Gujarat,2018,4,bharuch,211843
1761,Gujarat,2018,4,banas kantha,197774
1762,Gujarat,2018,4,kachchh,195295
1763,Gujarat,2018,4,mahesana,192493
1764,Gujarat,2018,4,bhavnagar,173699
1765,Gujarat,2019,1,ahmadabad,1450100
1766,Gujarat,2019,1,surat,1180819
1767,Gujarat,2019,1,vadodara,502520
1768,Gujarat,2019,1,rajkot,304415
1769,Gujarat,2019,1,gandhinagar,291858
1770,Gujarat,2019,1,bharuch,252826
1771,Gujarat,2019,1,banas kantha,239613
1772,Gujarat,2019,1,kachchh,231871
1773,Gujarat,2019,1,mahesana,230403
1774,Gujarat,2019,1,valsad,209477
1775,Gujarat,2019,2,ahmadabad,1656341
1776,Gujarat,2019,2,surat,1338584
1777,Gujarat,2019,2,vadodara,572031
1778,Gujarat,2019,2,rajkot,345178
1779,Gujarat,2019,2,gandhinagar,333056
1780,Gujarat,2019,2,bharuch,284296
1781,Gujarat,2019,2,banas kantha,271379
1782,Gujarat,2019,2,kachchh,261458
1783,Gujarat,2019,2,mahesana,259949
1784,Gujarat,2019,2,valsad,238764
1785,Gujarat,2019,3,ahmadabad,1848860
1786,Gujarat,2019,3,surat,1481391
1787,Gujarat,2019,3,vadodara,637678
1788,Gujarat,2019,3,rajkot,384852
1789,Gujarat,2019,3,gandhinagar,372464
1790,Gujarat,2019,3,bharuch,315856
1791,Gujarat,2019,3,banas kantha,301373
1792,Gujarat,2019,3,mahesana,286652
1793,Gujarat,2019,3,kachchh,285519
1794,Gujarat,2019,3,valsad,266134
1795,Gujarat,2019,4,ahmadabad,2015947
1796,Gujarat,2019,4,surat,1624077
1797,Gujarat,2019,4,vadodara,700817
1798,Gujarat,2019,4,rajkot,426178
1799,Gujarat,2019,4,gandhinagar,408526
1800,Gujarat,2019,4,bharuch,350619
1801,Gujarat,2019,4,banas kantha,339582
1802,Gujarat,2019,4,mahesana,316985
1803,Gujarat,2019,4,kachchh,314732
1804,Gujarat,2019,4,valsad,296977
1805,Gujarat,2020,1,ahmadabad,2185983
1806,Gujarat,2020,1,surat,1772703
1807,Gujarat,2020,1,vadodara,763969
1808,Gujarat,2020,1,rajkot,469636
1809,Gujarat,2020,1,gandhinagar,445290
1810,Gujarat,2020,1,banas kantha,386212
1811,Gujarat,2020,1,bharuch,384819
1812,Gujarat,2020,1,mahesana,349897
1813,Gujarat,2020,1,kachchh,347270
1814,Gujarat,2020,1,valsad,330053
1815,Gujarat,2020,2,ahmadabad,2384154
1816,Gujarat,2020,2,surat,1935894
1817,Gujarat,2020,2,vadodara,830759
1818,Gujarat,2020,2,rajkot,522650
1819,Gujarat,2020,2,gandhinagar,488351
1820,Gujarat,2020,2,banas kantha,446603
1821,Gujarat,2020,2,bharuch,423017
1822,Gujarat,2020,2,mahesana,389562
1823,Gujarat,2020,2,kachchh,385480
1824,Gujarat,2020,2,valsad,372771
1825,Gujarat,2020,3,ahmadabad,2580178
1826,Gujarat,2020,3,surat,2092712
1827,Gujarat,2020,3,vadodara,901492
1828,Gujarat,2020,3,rajkot,573062
1829,Gujarat,2020,3,gandhinagar,529771
1830,Gujarat,2020,3,banas kantha,501471
1831,Gujarat,2020,3,bharuch,462292
1832,Gujarat,2020,3,mahesana,427950
1833,Gujarat,2020,3,kachchh,423729
1834,Gujarat,2020,3,valsad,410740
1835,Gujarat,2020,4,ahmadabad,2787991
1836,Gujarat,2020,4,surat,2278232
1837,Gujarat,2020,4,vadodara,980658
1838,Gujarat,2020,4,rajkot,627654
1839,Gujarat,2020,4,gandhinagar,572461
1840,Gujarat,2020,4,banas kantha,551645
1841,Gujarat,2020,4,bharuch,508005
1842,Gujarat,2020,4,kachchh,466855
1843,Gujarat,2020,4,mahesana,464932
1844,Gujarat,2020,4,valsad,452628
1845,Gujarat,2021,1,ahmadabad,2999575
1846,Gujarat,2021,1,surat,2458596
1847,Gujarat,2021,1,vadodara,1053954
1848,Gujarat,2021,1,rajkot,677301
1849,Gujarat,2021,1,gandhinagar,615315
1850,Gujarat,2021,1,banas kantha,598384
1851,Gujarat,2021,1,bharuch,548541
1852,Gujarat,2021,1,kachchh,505517
1853,Gujarat,2021,1,mahesana,500511
1854,Gujarat,2021,1,valsad,489062
1855,Gujarat,2021,2,ahmadabad,3209841
1856,Gujarat,2021,2,surat,2633443
1857,Gujarat,2021,2,vadodara,1127636
1858,Gujarat,2021,2,rajkot,726817
1859,Gujarat,2021,2,gandhinagar,658428
1860,Gujarat,2021,2,banas kantha,645073
1861,Gujarat,2021,2,bharuch,588777
1862,Gujarat,2021,2,kachchh,543585
1863,Gujarat,2021,2,mahesana,536645
1864,Gujarat,2021,2,valsad,524614
1865,Gujarat,2021,3,ahmadabad,3445024
1866,Gujarat,2021,3,surat,2830392
1867,Gujarat,2021,3,vadodara,1210266
1868,Gujarat,2021,3,rajkot,782611
1869,Gujarat,2021,3,gandhinagar,706654
1870,Gujarat,2021,3,banas kantha,698841
1871,Gujarat,2021,3,bharuch,634589
1872,Gujarat,2021,3,kachchh,587589
1873,Gujarat,2021,3,mahesana,578072
1874,Gujarat,2021,3,valsad,565423
1875,Gujarat,2021,4,ahmadabad,3679243
1876,Gujarat,2021,4,surat,3026960
1877,Gujarat,2021,4,vadodara,1292097
1878,Gujarat,2021,4,rajkot,837869
1879,Gujarat,2021,4,gandhinagar,754369
1880,Gujarat,2021,4,banas kantha,751116
1881,Gujarat,2021,4,bharuch,679705
1882,Gujarat,2021,4,kachchh,630878
1883,Gujarat,2021,4,mahesana,618376
1884,Gujarat,2021,4,valsad,605655
1885,Gujarat,2022,1,ahmadabad,3897869
1886,Gujarat,2022,1,surat,3210535
1887,Gujarat,2022,1,vadodara,1368210
1888,Gujarat,2022,1,rajkot,889499
1889,Gujarat,2022,1,banas kantha,802470
1890,Gujarat,2022,1,gandhinagar,799301
1891,Gujarat,2022,1,bharuch,722367
1892,Gujarat,2022,1,kachchh,671465
1893,Gujarat,2022,1,mahesana,656908
1894,Gujarat,2022,1,valsad,643742
1895,Gujarat,2022,2,ahmadabad,4105172
1896,Gujarat,2022,2,surat,3385398
1897,Gujarat,2022,2,vadodara,1440949
1898,Gujarat,2022,2,rajkot,937863
1899,Gujarat,2022,2,banas kantha,849884
1900,Gujarat,2022,2,gandhinagar,841732
1901,Gujarat,2022,2,bharuch,762752
1902,Gujarat,2022,2,kachchh,709339
1903,Gujarat,2022,2,mahesana,692794
1904,Gujarat,2022,2,valsad,679340
1905,Gujarat,2022,3,ahmadabad,4319512
1906,Gujarat,2022,3,surat,3567767
1907,Gujarat,2022,3,vadodara,1515556
1908,Gujarat,2022,3,rajkot,986904
1909,Gujarat,2022,3,banas kantha,896869
1910,Gujarat,2022,3,gandhinagar,885535
1911,Gujarat,2022,3,bharuch,803845
1912,Gujarat,2022,3,kachchh,747079
1913,Gujarat,2022,3,mahesana,729723
1914,Gujarat,2022,3,valsad,716467
1915,Gujarat,2022,4,ahmadabad,4530853
1916,Gujarat,2022,4,surat,3747780
1917,Gujarat,2022,4,vadodara,1587831
1918,Gujarat,2022,4,rajkot,1033159
1919,Gujarat,2022,4,banas kantha,939693
1920,Gujarat,2022,4,gandhinagar,927585
1921,Gujarat,2022,4,bharuch,842519
1922,Gujarat,2022,4,kachchh,781383
1923,Gujarat,2022,4,mahesana,763693
1924,Gujarat,2022,4,valsad,751767
1925,Gujarat,2023,1,ahmadabad,4734630
1926,Gujarat,2023,1,surat,3919829
1927,Gujarat,2023,1,vadodara,1658232
1928,Gujarat,2023,1,rajkot,1079736
1929,Gujarat,2023,1,banas kantha,985280
1930,Gujarat,2023,1,gandhinagar,968586
1931,Gujarat,2023,1,bharuch,881508
1932,Gujarat,2023,1,kachchh,817441
1933,Gujarat,2023,1,mahesana,798353
1934,Gujarat,2023,1,valsad,786811
1935,Gujarat,2023,2,ahmadabad,4913610
1936,Gujarat,2023,2,surat,4076929
1937,Gujarat,2023,2,vadodara,1721431
1938,Gujarat,2023,2,rajkot,1123115
1939,Gujarat,2023,2,banas kantha,1030499
1940,Gujarat,2023,2,gandhinagar,1005603
1941,Gujarat,2023,2,bharuch,917746
1942,Gujarat,2023,2,kachchh,853047
1943,Gujarat,2023,2,mahesana,831177
1944,Gujarat,2023,2,valsad,818831
1945,Gujarat,2023,3,ahmadabad,5105557
1946,Gujarat,2023,3,surat,4238878
1947,Gujarat,2023,3,vadodara,1789238
1948,Gujarat,2023,3,rajkot,1167848
1949,Gujarat,2023,3,banas kantha,1074757
1950,Gujarat,2023,3,gandhinagar,1044993
1951,Gujarat,2023,3,bharuch,955541
1952,Gujarat,2023,3,kachchh,888857
1953,Gujarat,2023,3,mahesana,864845
1954,Gujarat,2023,3,valsad,852301
1955,Gujarat,2023,4,ahmadabad,5282400
1956,Gujarat,2023,4,surat,4396038
1957,Gujarat,2023,4,vadodara,1851909
1958,Gujarat,2023,4,rajkot,1210023
1959,Gujarat,2023,4,banas kantha,1116214
1960,Gujarat,2023,4,gandhinagar,1080850
1961,Gujarat,2023,4,bharuch,991279
1962,Gujarat,2023,4,kachchh,922553
1963,Gujarat,2023,4,mahesana,895934
1964,Gujarat,2023,4,valsad,883746
1965,Gujarat,2024,1,ahmadabad,5485010
1966,Gujarat,2024,1,surat,4569769
1967,Gujarat,2024,1,vadodara,1923948
1968,Gujarat,2024,1,rajkot,1258350
1969,Gujarat,2024,1,banas kantha,1165004
1970,Gujarat,2024,1,gandhinagar,1122367
1971,Gujarat,2024,1,bharuch,1032496
1972,Gujarat,2024,1,kachchh,962243
1973,Gujarat,2024,1,mahesana,931768
1974,Gujarat,2024,1,valsad,919660
1975,Haryana,2018,1,gurugram,474081
1976,Haryana,2018,1,faridabad,231504
1977,Haryana,2018,1,hisar,113872
1978,Haryana,2018,1,rewari,85350
1979,Haryana,2018,1,sonipat,79638
1980,Haryana,2018,1,panipat,74739
1981,Haryana,2018,1,karnal,73612
1982,Haryana,2018,1,sirsa,70800
1983,Haryana,2018,1,rohtak,62452
1984,Haryana,2018,1,bhiwani,57585
1985,Haryana,2018,2,gurugram,621718
1986,Haryana,2018,2,faridabad,306358
1987,Haryana,2018,2,hisar,147599
1988,Haryana,2018,2,rewari,113056
1989,Haryana,2018,2,sonipat,106837
1990,Haryana,2018,2,panipat,101243
1991,Haryana,2018,2,karnal,98276
1992,Haryana,2018,2,sirsa,91908
1993,Haryana,2018,2,rohtak,82822
1994,Haryana,2018,2,bhiwani,75485
1995,Haryana,2018,3,gurugram,767369
1996,Haryana,2018,3,faridabad,383316
1997,Haryana,2018,3,hisar,176380
1998,Haryana,2018,3,rewari,138368
1999,Haryana,2018,3,sonipat,132705
2000,Haryana,2018,3,panipat,124290
2001,Haryana,2018,3,karnal,121471
2002,Haryana,2018,3,sirsa,109165
2003,Haryana,2018,3,rohtak,101649
2004,Haryana,2018,3,ambala,92472
2005,Haryana,2018,4,gurugram,967781
2006,Haryana,2018,4,faridabad,521996
2007,Haryana,2018,4,hisar,210671
2008,Haryana,2018,4,rewari,172035
2009,Haryana,2018,4,sonipat,165599
2010,Haryana,2018,4,panipat,153137
2011,Haryana,2018,4,karnal,149062
2012,Haryana,2018,4,sirsa,127874
2013,Haryana,2018,4,rohtak,124365
2014,Haryana,2018,4,jhajjar,114488
2015,Haryana,2019,1,gurugram,1159832
2016,Haryana,2019,1,faridabad,634024
2017,Haryana,2019,1,hisar,245236
2018,Haryana,2019,1,rewari,207051
2019,Haryana,2019,1,sonipat,199593
2020,Haryana,2019,1,panipat,181548
2021,Haryana,2019,1,karnal,177042
2022,Haryana,2019,1,rohtak,147392
2023,Haryana,2019,1,sirsa,146936
2024,Haryana,2019,1,palwal,141953
2025,Haryana,2019,2,gurugram,1307319
2026,Haryana,2019,2,faridabad,716593
2027,Haryana,2019,2,hisar,277720
2028,Haryana,2019,2,rewari,238349
2029,Haryana,2019,2,sonipat,230883
2030,Haryana,2019,2,panipat,208172
2031,Haryana,2019,2,karnal,204255
2032,Haryana,2019,2,rohtak,169372
2033,Haryana,2019,2,palwal,165665
2034,Haryana,2019,2,sirsa,163468
2035,Haryana,2019,3,gurugram,1447473
2036,Haryana,2019,3,faridabad,792884
2037,Haryana,2019,3,hisar,308179
2038,Haryana,2019,3,rewari,266893
2039,Haryana,2019,3,sonipat,261554
2040,Haryana,2019,3,panipat,235346
2041,Haryana,2019,3,karnal,230603
2042,Haryana,2019,3,rohtak,190137
2043,Haryana,2019,3,palwal,188217
2044,Haryana,2019,3,jhajjar,185095
2045,Haryana,2019,4,gurugram,1574240
2046,Haryana,2019,4,faridabad,862595
2047,Haryana,2019,4,hisar,339753
2048,Haryana,2019,4,rewari,294161
2049,Haryana,2019,4,sonipat,291479
2050,Haryana,2019,4,panipat,262435
2051,Haryana,2019,4,karnal,255280
2052,Haryana,2019,4,rohtak,209750
2053,Haryana,2019,4,palwal,209434
2054,Haryana,2019,4,jhajjar,206377
2055,Haryana,2020,1,gurugram,1700505
2056,Haryana,2020,1,faridabad,935992
2057,Haryana,2020,1,hisar,382469
2058,Haryana,2020,1,sonipat,325111
2059,Haryana,2020,1,rewari,323001
2060,Haryana,2020,1,panipat,293916
2061,Haryana,2020,1,karnal,283270
2062,Haryana,2020,1,palwal,233542
2063,Haryana,2020,1,rohtak,231317
2064,Haryana,2020,1,jhajjar,230059
2065,Haryana,2020,2,gurugram,1809777
2066,Haryana,2020,2,faridabad,1010271
2067,Haryana,2020,2,hisar,417164
2068,Haryana,2020,2,sonipat,362890
2069,Haryana,2020,2,rewari,354024
2070,Haryana,2020,2,panipat,324833
2071,Haryana,2020,2,karnal,313828
2072,Haryana,2020,2,palwal,259528
2073,Haryana,2020,2,jhajjar,256581
2074,Haryana,2020,2,rohtak,254647
2075,Haryana,2020,3,gurugram,1949331
2076,Haryana,2020,3,faridabad,1094570
2077,Haryana,2020,3,hisar,453910
2078,Haryana,2020,3,sonipat,402001
2079,Haryana,2020,3,rewari,388025
2080,Haryana,2020,3,panipat,357830
2081,Haryana,2020,3,karnal,344289
2082,Haryana,2020,3,palwal,285223
2083,Haryana,2020,3,jhajjar,284852
2084,Haryana,2020,3,rohtak,280325
2085,Haryana,2020,4,gurugram,2104240
2086,Haryana,2020,4,faridabad,1182635
2087,Haryana,2020,4,hisar,490971
2088,Haryana,2020,4,sonipat,441088
2089,Haryana,2020,4,rewari,421106
2090,Haryana,2020,4,panipat,391952
2091,Haryana,2020,4,karnal,374733
2092,Haryana,2020,4,jhajjar,313144
2093,Haryana,2020,4,palwal,310698
2094,Haryana,2020,4,rohtak,305922
